titulo_original;titulo_padronizado;id_todos_digitos;vaga_sap;cliente;tipo_contratacao;pais;estado;cidade;vaga_especifica_para_pcd;faixa_etaria;nivel_profissional;nivel_academico;nivel_ingles;nivel_espanhol;nivel;atuacao_tokenizadas;atividade_tokenizadas;competencias_tokenizadas
Transport Tendering (Planejamento de Transporte Logístico) – Líder de Time;Transport Tendering Planejamento De Transporte Logistico Lider De Time;;Não;Morris, Moran and Dodson;PJ/Autônomo;Brasil;sao paulo;campinas;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;competencias experiencia logistica atividades direcionamento carga ter experiencia com lideranca ingles fluente;ingles avancado fluente conversacao mandatorio espanhol desejavel desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca
957 - Analista Contábil Pleno;Analista Contabil;957;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;basico;PL;projetos;modelo trabalho presencial local aclimacao;conhecimento tecnico contabil fiscal nivel pleno
Analista Adm Pleno (Projetos);Analista Adm Projetos;;Não;Werner PLC;CLT Full;Brasil;rio de janeiro;rio de janeiro;;De: Até:;analista;ensino superior completo;nenhum;;PL;administrativa;administrativo projetos;administrativo projetos
Freight Payment / Gerente Jr. - 723;Freight Payment Gerente;723;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;gerente;ensino superior completo;fluente;basico;JR;projetos;requisitos realizar pagamento especifico fretes realizar conciliacao das transportadoras desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca;ingles avancado fluente conversacao espanhol desejavel
CGEMJP00243786 - Consultor SAP TRM Senior;Cgemjp Consultor Sap Trm;243786;Não;Morris, Moran and Dodson;CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;idiomas nao necessario ingles;descricao colaborar com equipes multifuncionais projetos sustentacao ams para implementacao configuracao integracao solucoes nas funcionalidades sap treasury profundos conhecimentos modulo trm experiencia ministrar treinamentos trm para usuario final necessaria visao geral modulo financeiro sap
954 - ETL TALEND SR;Etl Talend;954;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;SR;projetos;modelo trabalho remoto idioma ingles avancado fluente;conhecimento tecnico boa comunicacao ingles anos experiencia trabalhando com talend data integration projetos suporte desenvolvimento manutencao desenvolvimento novas integracoes manutencao integracoes existentes aplicando melhorias correcoes bugs gerenciar reunioes pontes conferencia horario suporte recursos baseados nos eua brasil funcionarao das mst
935 - SAP CO Sênior;Sap Co;935;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia modulo seus submodulos experiencias anteriores projetos rollout sap material ledger shana
944 - SAP MM GRC Inbound/VIM;Sap Mm Grc Inboundvim;944;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia com grc inbound vim
941 - SAP FI/CO;Sap Fico;941;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia sap
941 - SAP FI/CO;Sap Fico;941;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia modulo financeiro experiencia implementacao hana experiencia configuracao submodulos ter experiencia interfaces com sistemas externos forte atuacao integracoes bancarias localizacao brasil scripting lsmw para automatizar atualizacao dos dados mestre deve ser capaz rastrear incidentes solicitacoes servicos solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia
940 - SAP SD Pleno;Sap Sd;940;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;basico;PL;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia projetos envolvendo sap billing configuracao nota fiscal validacao sefaz profundo conhecimento tabelas excessoes impostos conhecimento vkoa conhecimento price procedures conhecimento profundo conhecimento localizacao brasil profundo conhecimento withholding tax participado projetos roll outs experiencia trabalhos com equipe projetos externas gerente externo autogerenciamento das atividades diarias bem como dos entregaveis sob responsabilidade consultor ferramenta office tais como word excel msproject profundo conhecimento catt localizacao brasil sap experiencia analises deteccao notas especialmente localizacao necessarias para configuracao localizacao brasil experiencia trabalhos com softwares complementares solucao fiscal
939 - SAP TDF Sênior;Sap Tdf;939;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia com sap tdf
938 - SAP ARIBA Sênior;Sap Ariba;938;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico vivencia com hana implementacao ariba configuracao dos modulos ariba vivencia com sourcing contracts slp testes
937 - SAP CO/PC Sênior;Sap Copc;937;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;idioma portugues modelo trabalho hibrido;conhecimento tecnico experiencia modulo seus submodulos experiencias anteriores projetos rollout sap conhecimento material ledger shana
936 - SAP FI AA Sênior;Sap Fi Aa;936;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;modelo trabalho hibrido idioma portugues;conhecimento tecnico experiencia modulo financeiro seus submodulos experiencia implementacao hana experiencia configuracao submodulos ter experiencia interfaces com sistemas externos conhecimento mbc pagamento atraves arquivo xml imobilizado ecc hana forte atuacao integracoes bancarias localizacao brasil scripting lsmw para automatizar atualizacao dos dados mestre deve ser capaz rastrear incidentes solicitacoes servicos solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia
955 - Consultor ABAP Sênior;Consultor Abap;955;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;SR;sap;idioma ingles fluente mandatorio;conhecimento tecnico skill mandatorio buscamos perfil desenvolvedor abap com ingles fluente experiencia com bopf debug codigo standard batch input report alv enhancements user exits field exits badis module pool interfaces smartform idoc ale edi rfc atuara desenvolvimento correcoes melhorias abap projeto skill desejavel experiencia trabalhos que envolvem modulo sap
GMO Pleno SAP - SV 139;Gmo Sap Sv;139;Não;Morrison Ltd;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;fluente;PL;sap;gestao mudancas organizacionais projeto sap espanhol fluente;realizar gestao das transformacoes desenvolver mapa stakeholders com apoio cliente criar desenvolver entregar fazer gestao comunicacoes todas fases projeto propor conteudos artes comunicacao liderar mapeamento impactos organizacionais planejamento acoes prazos acompanhamento dos avancos plano transicao avaliar prontidao para mudancas construir plano capacitacao com diretrizes metodologia conduzir mapeamento publico alvo orientar execucao acompanhar acoes apresentar relatorios com indicadores dos treinamentos criacao materiais agendamentos cursos pessoas treinadas etc gestao ativa partes interessadas multi areas executivas operacionais apoiar empresa nas decisoes sobre caminhos mudanca criando senso urgencia necessario monitorar riscos mudanca
Consultor SAP TRM Sr - 725;Consultor Sap Trm;725;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;SR;sap;requisitos colaborar com equipes multifuncionais projetos sustentacao ams para implementacao configuracao integracao solucoes nas funcionalidades sap treasury profundos conhecimentos modulo trm experiencia ministrar treinamentos trm para usuario final necessaria visao geral modulo financeiro sap;remoto
Desenvolvedor BACKEND;Desenvolvedor Backend;;Não;Miller-Curry;CLT Full;Brasil;sao paulo;hortolandia;;De: Até:;analista;ensino superior completo;nenhum;;;desenvolvimento programacao;desenvolvedor backend;desenvolvedor backend
Transport Tendering - 722;Transport Tendering;722;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;experiencia logistica atividades roteirizacao dentro brasil desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca;ingles avancado fluente conversacao espanhol desejavel
Logistics Transport Planning - 720;Logistics Transport Planning;720;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;experiencia logistica atividades roteirizacao dentro brasil desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca;ingles avancado fluente conversacao espanhol desejavel
Logistics Transport Planning - 719;Logistics Transport Planning;719;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;experiencia logistica atividades roteirizacao dentro brasil desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca;ingles avancado fluente conversacao espanhol desejavel
951 - SAP MM;Sap Mm;951;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;local sao paulo zona sul idioma portugues;conhecimento tecnico perfil consultor sap com experiencia projetos melhorias skill mandatorio skill desejavel conhecimento industria telecomunicacoes senioridade senior
Analista Funcional SÊNIOR;Analista Funcional;;Não;Porter-Wilson;CLT Full, Cooperado, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;levantamento requisitos colaborar com partes interessadas para entender documentar requisitos sistema conduzir entrevistas sessoes coleta requisitos documentacao criar documentacao clara abrangente como especificacoes funcionais casos uso garantir que documentacoes estejam alinhadas com necessidades negocio sejam compreensiveis para equipes desenvolvimento compreensao negocio desenvolver profundo conhecimento setor dos processos negocios relevantes alinhar solucoes propostas com objetivos estrategias organizacao colaboracao com desenvolvimento trabalhar estreita colaboracao com equipes desenvolvimento para garantir que solucoes atendam aos requisitos usuario participar reunioes planejamento revisoes codigo necessario testes validacao colaborar desenvolvimento casos teste participar processo teste para garantir que solucoes atendam aos requisitos especificados melhoria continua identificar oportunidades melhorias nos processos sistemas existentes propor solucoes inovadoras que possam beneficiar eficiencia eficacia dos sistemas;ferramentas microsoft project pacote office lucidchart ferramentas correlatas jira ferramentas correlatas diferencial ter atuado projetos digital phygital experiencia varejo
SAP FI (Temporário);Sap Fi Temporario;;Não;Evans PLC;CLT Full;Brasil;sao paulo;campinas;;De: Até:;especialista;ensino superior completo;nenhum;;;sap;job description especialista sap implementacao melhorias relacionadas contabilidade financeira contas pagar receber ativos contabilidade interface com bancos processos tesouraria colaborar com outros membros equipe para entender transformar requisitos cliente processo eficiente suportado pelo sistema projetar detalhes tecnicos implementacao colaboracao com equipe desenvolvimento considerando experiencia cliente processo participacao projetos globais regionais principalmente como especialista eventualmente liderando projetos baixa media complexidade nivel suporte aos usuarios relacionados aos topicos;qualifications ensino superior completo sap ecc contabilidade financeira conhecimento basico abap office ferramentas planejamento projetos forte conhecimento experiencia sap modulo conhecimento abap diferencial conhecimento cenario brasileiro impostos bancos
952 - SAP PM;Sap Pm;952;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;local sao paulo zona sul idioma portugues;conhecimento tecnico perfil consultor sap com experiencia projetos melhorias skill mandatorio skill desejavel conhecimento industria telecomunicacoes senioridade senior
953 - SAP FI-AA;Sap Fiaa;953;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;local sao paulo zona sul idioma portugues;conhecimento tecnico perfil consultor sap com experiencia projetos melhorias skill mandatorio skill desejavel conhecimento industria telecomunicacoes senioridade senior
950 - SAP MM;Sap Mm;950;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;;;sap;conhecimento tecnico perfil consultor sap com experiencia projetos melhorias skill mandatorio skill desejavel conhecimento industria telecomunicacoes senioridade senior especialista;idioma portugues local sao paulo zona sul
Consultor ABAP Especialista;Consultor Abap Especialista;;Não;Evans PLC;CLT Full;Brasil;sao paulo;campinas;;De: Até:;analista;ensino superior completo;nenhum;;;sap;idioma ingles nao necessario home office sim remoto notebook pode ser enviado via correio skill necessario abap com experiencia odata api rest api restful;atuar como desenvolvedor abap respeitando padroes tecnicos qualidade empresa compreender estruturas tecnicas tecnicas programacao modularizacao abap apresentar solucoes evolutivas visando otimizar atividades dos envolvidos seja time tecnologia negocio acompanhamento processo melhorias suporte funcional com analise viabilidade performance experiencia desenvolvimento linguagem abap experiencia desenvolvimento alv smartforms sapscript alv module pool bapi badi reports write alv conversion batch input bapi lsmw enhancements exits badis forms sapscript smartforms adobeforms experiencia interfaces rfcs idoc edi ale proxys soamanager diferenciais desenvolvimento odata services
Data Migration;Data Migration;;Não;Evans PLC;CLT Full;Brasil;sao paulo;campinas;;De: Até:;especialista;ensino superior completo;fluente;;;sap;nossa necessidade para inicio imediato projeto tem previsao live novembro alocacao sera periodo integral para esse projeto podera haver necessidade visita planta por uma duas semanas periodo testes live contrato sera modalidade site;principais atividades ser responsavel pelo masterdata todos modulos material clientes fornecedores etc alinhamento com time global templates etc alinhamento com keyusers regras conversao para das informacoes criar executar lsmw ingles fluente excel conhecimento avancado para essa posicao importante ter idioma pois trabalho sera diretamente com time internacional
SAP Technical / ABAP AD;Sap Technical Abap Ad;;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;job title sap technical abap;job title sap technical abap
945 - SAP GRC AC;Sap Grc Ac;945;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;modelo trabalho hibrido local sao paulo porto alegre idioma portugues;conhecimento tecnico experiencia com grc
943 - SAP PM;Sap Pm;943;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;modelo trabalho hibrido local sao paulo porto alegre idioma portugues;conhecimento tecnico experiencia sap
SAP MM;Sap Mm;;Não;Bishop-Reed;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;;sap;skill senior principal consultant experience rollout projects experience projects experience master data loading experience localization brazil taxbra jbtax tax determination experience sap activate agile frameworks experience interface ariba procurement process industry beverage differential experience fiori tiles applied modules differential ingles fluente;ability work multiple tasks simultaneously good communication leadership negotiation conflict resolution support gap definition support functional team solution design configuration plan activities related project execution plan execute test cycles modules create documentation required project perform trainings client conduct workshops fit standard solution validation cut execution support hypercare solutions production
947 - Especialista em Projeto PMO;Especialista Em Projeto Pmo;947;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;idioma ingles desejavel nao obrigatorio;conhecimento tecnico manter atualizada metodologia padrao gerenciamento com procedimentos processos para projetos suportar gestao projetos termos gestao progresso escopo riscos licoes aprendidas durante todo ciclo vida dos projetos estabelecimento controle dos principais kpis dos projetos relatar progresso riscos principais problemas realizacoes dos projetos manter todos partes interessadas informadas atualizadas sobre execucao performance dos projetos direcionar acoes para toda organizacao visando atingimento das metas dos projetos csc preparar manter relatorios dos projetos atualizados desejavel conhecimento processos end end sap visao negocio
Consultor SAP CS Sênior;Consultor Sap Cs;;Não;Bishop-Reed;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;avancado;basico;SR;sap;perfil sap funcional seu principal objeto ordem servico responsavel por gerenciar todo ciclo execucao servico desde indicacao cliente seu equipamento despacho mao obra pecas necessarias subcontratacoes servicos compras diretas ate seus apontamentos reais encerramento alem disso integracao com modulo vendas permite faturamento servico executado dois principais cenarios execucao reparo interno reparo cliente sao possiveis gracas integracao destes dois importantes objetos ordem servico ordem vendas analise resultado fica por conta result analysis recognition componentes integracao modulo contatilidade;ingles avancado principais funcionalidades modulo sap customer service consistem estruturacao base instalada dos equipamentos seu cliente gerenciamento garantias gerenciamento atendimentos controle das solicitacoes contratos servicos condicoes precos manutencoes programadas gerenciamento execucao servico faturamento controle custos receitas dos servicos executados
CGEMJP00242430 BR | Application Consultant - Application Server Technologies_L3 (RC67_BR_L3) – Repasse;Cgemjp Br Application Consultant Application Server Technologiesl Rc Brl Repasse;2424303673;Não;Morris, Moran and Dodson;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;intermediario;basico;;projetos;application consultant package consultant application server technologies application consultants supervised senior technical architect similar manager work improve create manage online applications computer software packages vtal cobol mainframe mulesoft soft skills diferenciais boa comunicacao resiliencia saber trabalhar equipe boa gestao tempo dinamico analitico para avaliar sugerir solucoes pertinentes processo integracao;remoto idiomas ingles avancado
GMO Pleno SAP - 138;Gmo Sap;138;Não;Morrison Ltd;PJ/Autônomo;Brasil;sao paulo;sao bernardo do campo;;De: Até:;pleno;ensino superior completo;intermediario;basico;PL;sap;gestao mudancas organizacionais projeto sap realizar gestao das transformacoes desenvolver mapa stakeholders com apoio cliente criar desenvolver entregar fazer gestao comunicacoes todas fases projeto propor conteudos artes comunicacao liderar mapeamento impactos organizacionais planejamento acoes prazos acompanhamento dos avancos plano transicao avaliar prontidao para mudancas construir plano capacitacao com diretrizes metodologia conduzir mapeamento publico alvo orientar execucao acompanhar acoes apresentar relatorios com indicadores dos treinamentos criacao materiais agendamentos cursos pessoas treinadas etc gestao ativa partes interessadas multi areas executivas operacionais apoiar empresa nas decisoes sobre caminhos mudanca criando senso urgencia necessario monitorar riscos mudanca;ingles intermediario atuacao presencial sao bernardo campo
Oracle DBA;Oracle Dba;;Não;Mann and Sons;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino medio completo;fluente;;;projetos;indicacao;indicacao
SAP PI/CPI Senior;Sap Picpi;;Não;Callahan-Hall;Cooperado;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior cursando;basico;basico;SR;sap;alocacao consultor part time para apoio atedimento cliente apoio funcional atendimento das demandas cpi drc superior completo cursando conhecimento pleno sap cpi drc vivencia atendimento chamados sap cpi conhecimento drc;remoto alocacao consultor part time para apoio atedimento cliente apoio funcional atendimento das demandas cpi drc superior completo cursando conhecimento pleno sap cpi drc vivencia atendimento chamados sap cpi conhecimento drc
Consultor SAP ABAP Senior;Consultor Sap Abap;;Não;Callahan-Hall;;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior cursando;basico;basico;SR;sap;alocacao consultor full time abap para grnde banco apoio tecnico demandas fabrica sap superior completo cursando conhecimento abap senior vivencia atendimento ams suporte sap;remoto alocacao consultor full time abap para grnde banco apoio tecnico demandas fabrica sap superior completo cursando conhecimento abap senior vivencia atendimento ams suporte sap
